ID;Expressions;Pandas_Expressions;ID_DIR;Qtd_Words
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('missing',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('missing',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('missing',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive identification',case=False,na=False)))];1.1.1;2
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive identification',case=False,na=False)))];1.1.1;2
